query_id,query,ground_truth_doc_ids
2286,When was Sparkling Clean Housekeeping Services established?,64
2433,"How did HealthPro Innovations' strategic partnership with a leading healthcare provider in January 2021 lead to increased sales and revenue potential through access to new customers, leveraging expertise and resources, and enhanced market reach?",54
6266,"According to the hospitalization records of Bridgewater General Hospital, what is J. Reyes's chief complaint?",212
4499,"According to the judgment of Norwood, Unionville Court, summarize the judgment result for C. Taylor.",124
2448,"Based on HealthLife Solutions' 2020 corporate governance report, summarize the risk management measures taken by the company.",73
6289,"According to the hospitalization records of Richmond General Hospital, summarize the past history of M. Young.",214
4926,"According to the judgment of Hamilton, Harrison, Court and Vandalia, Bayside, Court, what were the dates when detention measures were taken for the defendants M. Ward and G. Torres?",129;127
2423,How much funding did HealthPro Innovations raise in February 2021?,54
6565,"According to the hospitalization records of Knoxville General Hospital and Farmington City Hospital, what are the diagnoses of patients L. Rogers and A. Smith?",192;195
2151,How did Green Fields Agriculture Ltd.'s debt restructuring in August 2021 improve its financial condition through the reduction of liabilities and refinancing at lower interest rates?,44
5048,"According to the judgment of Vandalia, Bayside, Court and Charleston, Linden, Court, what is the gender of the defendants G. Torres and J. Gonzalez?",129;137
2390,"Based on Energen Solutions Ltd's 2019 Corporate Governance Report, summarize the key resolutions passed during the shareholders' meeting and their impacts.",77
6006,"According to the hospitalization records of Granville General Hospital, how many auxiliary examinations did J. Rodriguez undergo?",182
4504,"According to the judgment of Trenton, Vandalia, Court, how many distinct criminal activities did G. Torres engage in?",122
5032,"According to the judgment of Northwood, Richmond, Court and Ashton, Clarksville, Court, what are the judgment dates for the cases involving S. Taylor and J. Gonzalez?",120;135
4648,"According to the judgment of Glenwood, Quailwood, Court, summarize the facts of Y. Nelson's crimes.",139
3191,"How did MediaCorp's major asset acquisition in April 2018, supported by the appointment of a new CEO, strategic market analysis, and a thorough due diligence process, contribute to the improvement in MediaCorp's market competitiveness?",72
2993,"How does Acme Financial Services plan to enhance its service offerings through its future investment plans, focusing on financial technology advancements and international expansion?",68
6163,"According to the hospitalization records of Parker City Hospital, summarize the past medical history of E. Cruz.",200
2572,Who were the two new independent directors appointed in February 2019?,41
2273,"Based on CleanCo Housekeeping Services' 2018 report, summarize the environmental and social responsibility measures taken by the company.",47
2728,How much did Elevate Retail Inc. reduce its liabilities by during the debt restructuring in August 2020?,79
3234,How did the risk management measures in 2019 improve the ability to respond to risks for Vanguard Media Group and StrongBuild Construction?,45;53
5995,"According to the hospitalization records of Upton General Hospital, what is K. Moore's age?",183
3553,What was the impact of the debt restructuring on the financial conditions of MediaCorp in 2018 and GreenTech Solutions Inc. in 2021?,72;63
6422,"According to the hospitalization records of Ashland City Hospital and Southport General Hospital, what are the chief complaints of patients Q. Gomez and K. Mendoza?",193;198
2965,What was the return on equity of Capital Finance Group at the end of 2018?,49
2312,What is the listing status of Acme Government Solutions?,40
5126,"According to the judgment of Ashland, Charleston, Court and Summerville, Windsor, Court, whose judgment time is earlier, T. Collins or F. James?",138;126
3001,"How did Evergreen Consumer Goods Co.'s sustainability and social responsibility initiatives in March 2017, including the strategic partnership with a renewable energy company, the launch of a corporate recycling program, and collaboration with local communities on environmental initiatives, contribute to enhancing its market competitiveness?",51
3355,Compare the senior management change times of Acme Government Solutions and Artistic Creations Inc. Which company experienced these changes earlier?,40;57
3240,What are the establishment dates of InnovaTech Solutions and AccuTech Solutions Inc.?,58;55
4410,"According to the court judgment of Preston, Lancaster, Court, who was the chief judge?",113
6651,"According to the hospitalization records of Richmond General Hospital and Kingsport General Hospital, what are the diagnoses for patients M. Young and A. Davis?",187;214
2504,How do Innovate Tech Solutions' cost control measures contribute to maximizing returns on investment?,69
2597,"Based on Entertainment Enterprises Inc.'s 2019 financial report, summarize the key financial performance indicators and their influencing factors.",41
2488,When was the new CEO of Innovate Tech Solutions appointed?,69
2893,"Based on SkyQuest Airlines' 2017 financial report, summarize the key financial indicators and their influencing factors.",67
3688,Compare the total assets of Culture Innovators Ltd. in 2021 and SkyQuest Airlines in 2017. Which company had more total assets?,67;75
4369,"According to the judgment of Brighton, Sterling Court, describe the legal procedure and the result of the judgment for N. Adams.",111
6005,"According to the hospitalization records of Granville General Hospital, how many diagnostic bases were used to diagnose J. Rodriguez's condition?",182
